timestamp,epoch,batch,split,loss,n_pairs,batch_size,dim_model,n_layers,n_head,dim_feedforward,dropout,lr,margin
1769195651.4362276,1,,train_epoch,0.029966599122941095,100000,64,256,2,4,512,0.1,7.683493726311414e-05,0.5
1769195651.4363039,1,,val_epoch,0.09757532872938024,20000,64,256,2,4,512,0.1,7.683493726311414e-05,0.5
1769197233.5690074,2,,train_epoch,0.0027604316292091985,100000,64,256,2,4,512,0.1,9.411456132174767e-05,0.5
1769197233.5690482,2,,val_epoch,0.10575955547541142,20000,64,256,2,4,512,0.1,9.411456132174767e-05,0.5
1769198816.0343268,3,,train_epoch,0.0018893464634365386,100000,64,256,2,4,512,0.1,8.708708863693697e-05,0.5
1769198816.034374,3,,val_epoch,0.11064869019324883,20000,64,256,2,4,512,0.1,8.708708863693697e-05,0.5
1769200402.0983355,4,,train_epoch,0.0012153342106797859,100000,64,256,2,4,512,0.1,7.784378082440941e-05,0.5
1769200402.0984755,4,,val_epoch,0.11226148397242204,20000,64,256,2,4,512,0.1,7.784378082440941e-05,0.5
1769201973.3034027,5,,train_epoch,0.0007920322814679681,100000,64,256,2,4,512,0.1,6.693689601226456e-05,0.5
1769201973.3035402,5,,val_epoch,0.11399613472278983,20000,64,256,2,4,512,0.1,6.693689601226456e-05,0.5
1769203548.371726,6,,train_epoch,0.0005965469603195711,100000,64,256,2,4,512,0.1,5.5018085742560744e-05,0.5
1769203548.3717697,6,,val_epoch,0.11268904413388203,20000,64,256,2,4,512,0.1,5.5018085742560744e-05,0.5
1769205126.7027125,7,,train_epoch,0.0004907942240672979,100000,64,256,2,4,512,0.1,4.27994608723874e-05,0.5
1769205126.7027516,7,,val_epoch,0.1139055611684728,20000,64,256,2,4,512,0.1,4.27994608723874e-05,0.5
1769206706.0137112,8,,train_epoch,0.0004293989402591921,100000,64,256,2,4,512,0.1,3.101104522390995e-05,0.5
1769206706.0137537,8,,val_epoch,0.11349755017973553,20000,64,256,2,4,512,0.1,3.101104522390995e-05,0.5
1769208284.8951826,9,,train_epoch,0.0003935021438011131,100000,64,256,2,4,512,0.1,2.035715899194704e-05,0.5
1769208284.895224,9,,val_epoch,0.11254030984183684,20000,64,256,2,4,512,0.1,2.035715899194704e-05,0.5
1769209863.953386,10,,train_epoch,0.0003769317875932503,100000,64,256,2,4,512,0.1,1.1474337861210533e-05,0.5
1769209863.9534364,10,,val_epoch,0.11354224674608974,20000,64,256,2,4,512,0.1,1.1474337861210533e-05,0.5
